//-Custom Edits-
// ∏  ¿Ã∏ß 	range	scope 	range_IN	rotationFrom 	rotationTo	rotation_IN	altitudeFrom	altitudeTo	altitude_IN
//map_name	zoom_in	zoom_out	default_zoom_at_that_map	??	??	default_rotation	shift_camera_angle_downwards	shift_camera_angle_upwards	default_shift_camera_angle_downwards
06guild_01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
06guild_02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
06guild_03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
06guild_04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
06guild_05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
06guild_06.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
06guild_07.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
06guild_08.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
06guild_r.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@air1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@air2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@begi.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@cash.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@cata.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@cor.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@cor_a.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@cor_b.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@crd.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@def01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@def02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@def03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
